city,country,distance,id,lat,localized_country_name,lon,member_count,ranking,zip
Kilchberg,ch,808.7196121246579,1005268,47.310001373291016,Switzerland,8.550000190734863,4,95,meetup193
Payerne,ch,768.334483093079,1005269,46.81999969482422,Switzerland,6.920000076293945,4,96,meetup194
Kriens,ch,810.7955850585303,1005098,47.029998779296875,Switzerland,8.270000457763672,3,97,meetup23
Appenzell,ch,842.1937603346394,1005356,47.33000183105469,Switzerland,9.399999618530273,3,98,meetup281
Dübendorf,ch,807.7419644683102,1005101,47.400001525878906,Switzerland,8.630000114440918,3,99,meetup26
Orbe,ch,758.1301333269654,1005364,46.720001220703125,Switzerland,6.519999980926514,3,100,meetup289
Wetzikon,ch,817.450057917188,1005109,47.33000183105469,Switzerland,8.789999961853027,3,101,meetup34
Jona,ch,823.6038590666259,1005116,47.25,Switzerland,8.850000381469727,3,102,meetup41
Zumikon,ch,809.7300295569008,1005397,47.34000015258789,Switzerland,8.609999656677246,3,103,meetup322
Allaman,ch,766.3745605461888,1005406,46.470001220703125,Switzerland,6.400000095367432,3,104,meetup331
Martigny,ch,809.7282500328282,1005151,46.11000061035156,Switzerland,7.059999942779541,3,105,meetup76
Thonex,ch,773.1285091592764,1005154,46.189998626708984,Switzerland,6.190000057220459,3,106,meetup79
Arzier,ch,769.2940660131634,1005411,46.20000076293945,Switzerland,6.099999904632568,3,107,meetup336
Arbon,ch,834.3089571069537,1005158,47.52000045776367,Switzerland,9.420000076293945,3,108,meetup83
Bursins,ch,763.3008527283663,1005419,46.45000076293945,Switzerland,6.289999961853027,3,109,meetup344
Meilen,ch,811.679848223842,1005171,47.349998474121094,Switzerland,8.670000076293945,3,110,meetup96
Küssnacht,ch,814.3004960180381,1005173,47.09000015258789,Switzerland,8.430000305175781,3,111,meetup98
Gingins,ch,761.2840763278386,1005430,46.40999984741211,Switzerland,6.179999828338623,3,112,meetup355
Aesch,ch,763.3150324797704,1005201,47.470001220703125,Switzerland,7.599999904632568,3,113,meetup126
Rolle,ch,764.6487599117498,1005461,46.459999084472656,Switzerland,6.340000152587891,3,114,meetup386
